principal_id	auth_agent_id	auth_status	canonical	unique_twin	successor_line	nonterminal_visit_use
4af8d4e7-8eae-4904-a142-b3f3d8f0b959	game-designer-agent	active	false	4f16b012-4bc9-45ae-ab9d-6418f9a01fd4:active		0
913dbd48-2311-4a10-9620-54c8b3e1c61a	game-dev-agent	active	false	6d184076-6037-4d29-96bc-b0196bab5056:active		0
bc970ced-710f-4479-9ff0-e295a1c59424	hr-agent	active	false	dc702687-6515-4a2a-91ae-e572a9bbd766:active	agt_hr-agent	0
87b760da-14b3-46d1-b529-9350ad95d2c0	image-gen-agent	active	false	bebd919a-9da5-46a0-a0de-57625066ddab:active		0
eee90beb-dfcc-49dd-9dbb-fa6b3db73a72	itops-agent	active	false	04dd2c02-502e-4a1e-bc21-7719ab42d718:active		0
87047adb-2931-400b-b5f0-c384cba37b8d	knowledge-curator-agent	active	false	8402d851-5bae-475c-bdb2-6fa1522803cf:active		0
6ccdae57-0a2c-4a2e-b3e4-e3f4ec1edf2a	learning-expert	active	false	40daa67b-af5a-462d-b4ca-d40213147afb:active		0
fe836dbd-896f-40f0-a74f-9c273d5ac233	miniapp-game-engineer	active	false	d2691e77-4ce4-493d-96e8-870e56f4977e:active		0
50042be0-57ef-4f37-a8d0-d936eddf24d1	mobile-app-engineer	active	false	858da6a2-ccbd-49e1-bc94-1afceb92d423:active		0
0c6a8e58-3275-4d40-a099-811832523cc4	needs-radar-agent	active	false	92e1d6d0-e722-41c9-b68b-90d97faa830f:active		0
1338fd22-3bed-4f1d-91a9-ae85e90ad7f0	paper-reviewer-agent	active	false	9004627e-6c97-4eb7-8031-51d881b7722e:active		0
968bff25-17f5-4e72-8bb9-5e2238b4bbbc	product-designer	active	false	3d4eb075-235c-4ad7-8abd-a8e8d36d879d:active		0
e4215c47-de83-455b-9e12-53edc983cf76	product-manager	active	false	33a71ab4-0eee-4bb7-86fe-a513cac7cbe0:active		0
0477c74b-cb51-47ce-a2ee-5e359b1d7f04	psychology-agent	active	false	c4f53ae3-c2b9-4eee-a542-f13469b38705:active		0
d1ffc337-6ecf-494a-89ce-53b16a95dee3	qa-reviewer	active	false	18f52e76-3922-47d1-92d7-cec00ce8ac8d:active		0
ecdb0a53-d79c-4c7e-9b66-5e9436500e81	reader-simulator-agent	active	false	93130a60-3c59-4ab9-88b5-70f152451e5b:active		0
1e0bebef-4150-4a24-ad42-aaccded084a2	research-agent	active	false	a4b14810-321b-4060-ae75-042dcb87892b:active		0
935d0d15-3bd5-489b-a5ba-d577257c2638	search-expert-agent	active	false	2fae18ce-c81e-411d-b9cc-76346d37ab5c:active		0
af8708f0-eb99-409b-87c9-7c7ee596b967	security-agent	active	false	e15a185f-e82d-49d5-9316-04ebb5b0a251:active		0
93c7cade-4f0a-47aa-bb6e-7d31a3a147f8	test-engineer	active	false	033ea97d-296b-4cd1-a92a-eb638f42d49f:active		0
097f197d-dc71-4107-8db2-f2bdc8eb7ec5	thesis-advisor-agent	active	false	72ff7ee1-9260-485d-8400-5768f2b59acd:active		0
66efbc9f-c618-47ba-b9da-0668cf5c7301	transcript-editor-agent	active	false	79e4a43b-002b-4a03-90ca-82ee4724c287:active		0
e272c87d-8093-40e3-b285-6bacd9c74c9f	video-model-expert	active	false	08c18ba3-c594-43b1-9493-6b3e22b6bbbe:active		0
32f44973-4aca-4b3f-9668-65bde6e5c234	voice-tech-agent	active	false	90aac9b8-c1a4-496c-aed7-fe42c08023eb:active		0
61819256-07e1-4bd0-adea-e93e51243fa1	writing-style-analyst-agent	active	false	9e3adced-575f-4fb2-b351-f7698b59127d:active	agt_writing-style-analyst-agent	0
